n,model_answer,judge_label,agree (y/n),correct_label_if_no,notes
1,GZMK+ cytotoxic T cell (likely CD8 effector-memory T cell),CD8 TEM,,,
2,Platelets/Megakaryocytes,Platelet,,,
3,CD4+ T cell,CD4 T cell (subtype unclear),,,
4,Proliferating NK cell,NK Proliferating,,,
5,Naive T lymphocyte (CD4+ resting T cell),CD4 Naive,,,
6,"T cell (memory/effector, likely CD8+ or CD4+ T lymphocyte)",T cell (CD4/CD8/other unclear),,,
7,Erythrocyte,Eryth,,,
8,Classical CD14+ monocytes,CD14 Mono,,,
9,"CD8+ memory/effector T cells (KLRB1+ GZMK+ subset, possibly MAIT-like)",MAIT,,,
10,cytotoxic CD8+ T cell,CD8 TEM,,,
11,CD8+ effector T cells,CD8 TEM,,,
12,CD8 T cell,CD8 T cell (subtype unclear),,,
13,CD8+ memory T cell,CD8 T cell (subtype unclear),,,
14,gamma delta T cell,gdT,,,
15,Unable to confidently determine cell type - RPL36A (ENSG00000130255) is a ribosomal protein gene ubiquitously expressed across virtually all PBMC cell types and is not a specific marker for any particular lineage. This gene is often detected as a top marker due to high overall expression/dropout patterns rather than cell-type specificity.,Unknown / low-quality / no cell type given,,,
16,CD8+ cytotoxic T cell,CD8 TEM,,,
17,Proliferating T cells,Proliferating lymphocyte (lineage unclear),,,
18,CD1C+ conventional dendritic cell,cDC2,,,
19,CD8+ cytotoxic T cell / NK-like T cell (effector/memory T cell),CD8 TEM,,,
20,"Gamma-delta T cells (cytotoxic, NK-like)",gdT,,,
21,"B cells (or other MHC class II-expressing antigen-presenting cells, e.g., monocytes/dendritic cells)",B cell (subtype unclear),,,
22,Low-quality/uncertain PBMCs (ribosomal protein-dominated cluster),Unknown / low-quality / no cell type given,,,
23,Naive CD4+ T cell,CD4 Naive,,,
24,Monocyte (CD14+ classical monocyte/macrophage),CD14 Mono,,,
25,CD4+ T cells,CD4 T cell (subtype unclear),,,
26,Effector CD8+ T cells,CD8 TEM,,,
27,T cell (likely effector/memory CD8+ T cell),CD8 TEM,,,
28,CD8+ T cell,CD8 T cell (subtype unclear),,,
29,"T cell (likely CD3+ activated/memory T lymphocyte, possibly NKT-like given CD2/KLRB1 expression)",T cell (CD4/CD8/other unclear),,,
30,"Proliferating NK/T cells (cycling lymphocytes, likely NK or cytotoxic T cells)",Proliferating lymphocyte (lineage unclear),,,
